item_id,title,author,year,editions,subjects,image_url
book-/works/OL810991W,Paradise Lost,John Milton,1667,396,Bible|Biography|Criticism And Interpretation|Devil|Early Works To 1800|English Christian Poetry|English Epic Poetry|English Poetry|Fall Of Man|Fall Of Man In Literature,https://covers.openlibrary.org/b/id/5992814-L.jpg
book-/works/OL655908W,The Night Before Christmas,Clement Clarke Moore,1857,389,Santa In Juvenile Prison|Juvenile Poetry|Poetry|Santa Claus|Christmas|Christmas Poetry|American Poetry|Narrative Poetry|American Narrative Poetry|Glow-In-The-Dark Books,https://covers.openlibrary.org/b/id/8236410-L.jpg
book-/works/OL26386W,Poems,William Wordsworth,1807,372,Gift Books|Specimens|Facsimiles|English Poetry|Poetry|Manuscripts|Nature|English Love Poetry|Juvenile Literature|British Library,https://covers.openlibrary.org/b/id/102874-L.jpg
book-/works/OL848771W,Os Lusíadas,Luís de Camões,1572,367,Poetry|History|Discovery And Exploration|Description And Travel|Explorers|Early Works To 1800|Portuguese Explorers|Colonies|Translations Into English|Spanish Poetry,https://covers.openlibrary.org/b/id/5943496-L.jpg
book-/works/OL35395W,Tender Buttons,Gertrude Stein,1914,365,Fiction|Poetry|Poetry (Poetic Works By One Author)|Amerikanisches Englisch|Prosa|Modern Poetry|Stream Of Consciousness Fiction|Ps3537.T323 T4 2014|818/.5209|American Women Authors,https://covers.openlibrary.org/b/id/756373-L.jpg
book-/works/OL1158921W,Les fleurs du mal,Charles Baudelaire,1855,363,Traducciones Al Español|Translations Into Spanish|Translations Into English|French Poets|Biography|Psychoanalysis|French Language Books|French Poetry|Literatura Francesa|Criticism And Interpretation,https://covers.openlibrary.org/b/id/8236412-L.jpg
book-/works/OL50348W,Fables,Jean de La Fontaine,1678,345,French Fables|Translations Into English|Fables|Oversize Books|Illustrations|Adaptations|Translations Into Malagasy|Specimens|Aesop'S Fables|English Fables,https://covers.openlibrary.org/b/id/976209-L.jpg
book-/works/OL502943W,Godfrey of Bulloigne,Torquato Tasso,1581,326,Poetry|Crusades|History|Italian Epic Poetry|Translations Into English|Italian Poetry|Poetry (Poetic Works By One Author)|Italian Language|Dialects|Texts,https://covers.openlibrary.org/b/id/5954727-L.jpg
book-/works/OL766052W,The complete poetical works,Robert Burns,1786,293,Biography|Correspondence|Criticism And Interpretation|English Poets|English Literature|English Poetry|Gift Books|History And Criticism|Juvenile Poetry|Miniature Books,https://covers.openlibrary.org/b/id/9048263-L.jpg
book-/works/OL810990W,Milton's Poems,John Milton,1605,292,Bible|Criticism And Interpretation|English Manuscripts|English Poetry|Facsimiles|Fall Of Man|History Of Biblical Events|Manuscripts|Modern Civilization|Poetry,https://covers.openlibrary.org/b/id/8235508-L.jpg
book-/works/OL93230W,Il Paradiso,Dante Alighieri,1595,291,Poetry|Heaven|Paradise|Heaven In Literature|Bibliography|Translations Into English|Dictionaries|Paradise In Literature|Rime|Italian Literature,https://covers.openlibrary.org/b/id/6549496-L.jpg
book-/works/OL41081W,The Raven,Edgar Allan Poe,1845,287,Busts|Narrative Poetry|Supernatural|Talking Birds|American Poetry|Poetry|Ravens|American Fantasy Poetry|Young Adult Nonfiction|Fantasy Poetry,https://covers.openlibrary.org/b/id/8246077-L.jpg
book-/works/OL15678068W,Ἱστορίαι,Ἡρόδοτος,1494,284,Genre:Historiography|Genre:History|Ancient History|History|Early Works To 1800|Libyans|Scythians|Historiography|Macedonians (Ancient)|Historiae,https://covers.openlibrary.org/b/id/9829028-L.jpg
book-/works/OL3159983W,Hudibras,Samuel Butler,1662,283,English Satire|English Poetry|Knights And Knighthood|Poetry|Modern Literature|Poetry As Topic|Library|Personal Copy|English Literature|Verse Satire,https://covers.openlibrary.org/b/id/9938523-L.jpg
book-/works/OL415234W,Helen of Troy,Andrew Lang,1882,282,Helen Of Troy (Greek Mythology)|Poetry|Fiction|Historical Fiction|Greek Mythology|Poetry (Poetic Works By One Author)|In Literature,https://covers.openlibrary.org/b/id/5556502-L.jpg
book-/works/OL15097239W,Poems,Alfred Lord Tennyson,1827,281,Criticism And Interpretation|Examinations|English Young Adult Poetry|English Literature|Poetry|Study And Teaching|English Poetry|Study Guides|English Language|Anglais (Langue),https://covers.openlibrary.org/b/id/8236274-L.jpg
book-/works/OL886738W,Poema de mio Cid,Anonymous,1868,269,Romances|Spanish Poetry|Poetry|Spanish Epic Poetry|Poesía|Poesía Española|Poesía Épica Española|Translations Into English|Criticism And Interpretation|Romance Literature,https://covers.openlibrary.org/b/id/4910995-L.jpg
book-/works/OL151447W,The Hunting of the Snark,Lewis Carroll,1876,255,Bibliography|History And Criticism|Poetry|Collections|English Poetry|Nonsense Verses|Illustrations|Translations Into French|Juvenile Literature|English Nonsense Verses,https://covers.openlibrary.org/b/id/8243028-L.jpg
book-/works/OL4558936W,"The History of Rasselas, Prince of Abyssinia",Samuel Johnson,1759,249,Princes|Fiction|Happiness|Manners And Customs In Fiction|Philosophy In Fiction|Kings And Rulers|Authors|Poetry|Gift Books|Specimens,https://covers.openlibrary.org/b/id/2035834-L.jpg
book-/works/OL88208W,Q. Horatii Flacci opera,Horace,1498,248,Criticism And Interpretation|Translations Into English|Poetry|Latin Laudatory Poetry|Latin Verse Satire|Latin Epistolary Poetry|Readers|Latin Language|Poetics|Wine And Wine Making,https://covers.openlibrary.org/b/id/6924561-L.jpg
book-/works/OL15237196W,"The Georgics of Virgil translated by Thomas Neville, ..",Publius Vergilius Maro,1523,248,Translations Into Italian|Agriculture|Poetry|Latin Didactic Poetry|Latin Pastoral Poetry|Translations Into English|Country Life|Classical Philology|Society In Literature|Paraphrases,https://covers.openlibrary.org/b/id/2810356-L.jpg
book-/works/OL8271329W,The Ballad of Reading Gaol,Oscar Wilde,1896,241,English Poetry|Poetry (Poetic Works By One Author)|Classic Literature|Fiction|Prisoners|Poetry|Prisons|Imprisonment,https://covers.openlibrary.org/b/id/1990809-L.jpg
book-/works/OL1084495W,The seasons,James Thomson,1726,240,German Poetry|Winter|Prayers|Translations From English|Poetry|Seasons In Literature|Anthologies|Early Works To 1800|English Poetry|Seasons,https://covers.openlibrary.org/b/id/5807889-L.jpg
book-/works/OL14853463W,Poems,Percy Bysshe Shelley,1800,233,English Manuscripts|English Poetry|Facsimiles|German Poetry|Manuscripts|Poetry|Textual Criticism|Translations Into Chinese|Agriculture|Gedichten,https://covers.openlibrary.org/b/id/8231548-L.jpg
book-/works/OL26131W,Poems,Samuel Taylor Coleridge,1796,232,Poetry (Poetic Works By One Author)|English Poetry|Lyrik|Criticism And Interpretation|English Poets|Romanticism|English Authors|Biography|English Manuscripts|Facsimiles,https://covers.openlibrary.org/b/id/11696250-L.jpg
book-/works/OL93228W,Vita nuova,Dante Alighieri,1829,231,Italian Literature|Translations Into English|Translations Into Ukrainian|Italian Poetry|Poetry (Poetic Works By One Author)|Love|Grief|Poètes Italiens|Biographies|Poetry,https://covers.openlibrary.org/b/id/8236950-L.jpg
