item_id,season,date,away,home,away_score,home_score,away_logo,home_logo,final_margin,overtime_periods,lead_changes,winner_came_from_behind,max_abs_lead,is_playoff
nba-401360331,2022,2021-12-29 01:00:00+00:00,NY,MIN,96,88,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,8,0,0,0,10,0
nba-401360332,2022,2021-12-29 01:00:00+00:00,CLE,NO,104,108,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,4,0,1,1,19,0
nba-401360333,2022,2021-12-29 03:00:00+00:00,DEN,GS,89,86,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,3,0,0,0,24,0
nba-401360334,2022,2021-12-29 03:00:00+00:00,OKC,SAC,111,117,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,6,0,1,0,6,0
nba-401360533,2022,2022-01-26 00:00:00+00:00,DEN,DET,110,105,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,5,0,0,0,12,0
nba-401360534,2022,2022-01-26 00:00:00+00:00,CHA,TOR,113,125,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,12,0,0,0,19,0
nba-401360535,2022,2022-01-26 00:00:00+00:00,LAC,WSH,116,115,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,1,0,1,1,30,0
nba-401401137,2022,2022-01-26 00:00:00+00:00,NO,PHI,107,117,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,10,0,1,0,10,0
nba-401360536,2022,2022-01-26 00:30:00+00:00,SAC,BOS,75,128,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,53,0,0,0,53,0
nba-401360537,2022,2022-01-26 00:30:00+00:00,LAL,BKN,106,96,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png,10,0,0,0,14,0
nba-401360538,2022,2022-01-26 01:00:00+00:00,SA,HOU,134,104,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,30,0,0,0,31,0
nba-401360539,2022,2022-01-26 03:00:00+00:00,DAL,GS,92,130,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,38,0,0,0,38,0
nba-401360540,2022,2022-01-26 03:00:00+00:00,MIN,POR,109,107,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,2,0,1,0,8,0
nba-401658225,2024,2024-05-09 23:00:00+00:00,CLE,BOS,118,94,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,24,0,0,0,24,1
nba-401658188,2024,2024-05-10 01:30:00+00:00,DAL,OKC,119,110,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,9,0,0,0,10,1
nba-401365945,2022,2021-10-13 21:00:00+00:00,POR,PHX,74,119,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,45,0,0,0,45,0
nba-401365939,2022,2021-10-13 22:30:00+00:00,DAL,CHA,127,59,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,68,0,0,0,68,0
nba-401365940,2022,2021-10-13 23:00:00+00:00,MEM,IND,107,109,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,2,0,2,1,6,0
nba-401365941,2022,2021-10-13 23:00:00+00:00,BOS,ORL,102,103,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,1,0,1,1,6,0
nba-401365942,2022,2021-10-13 23:30:00+00:00,DET,NY,100,108,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,8,0,1,0,8,0
nba-401365943,2022,2021-10-14 00:00:00+00:00,DEN,OKC,99,108,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,9,0,0,0,12,0
nba-401365944,2022,2021-10-14 01:00:00+00:00,MIL,UTAH,120,124,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,4,0,0,0,5,0
nba-401438946,2022,2022-05-23 01:00:00+00:00,GS,DAL,109,100,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,9,0,0,0,10,1
nba-401547684,2023,2023-05-23 00:30:00+00:00,DEN,LAL,113,111,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,2,0,1,0,15,1
nba-401584131,2024,2023-11-24 19:30:00+00:00,BOS,ORL,96,113,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,17,0,1,0,17,0
nba-401584132,2024,2023-11-24 22:00:00+00:00,PHX,MEM,110,89,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,21,0,0,0,21,0
nba-401584133,2024,2023-11-25 00:30:00+00:00,MIA,NY,98,100,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,2,0,3,1,16,0
nba-401584134,2024,2023-11-25 00:30:00+00:00,CHI,TOR,108,121,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,13,0,0,0,16,0
nba-401584135,2024,2023-11-25 01:00:00+00:00,DET,IND,113,136,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,23,0,2,0,23,0
nba-401584136,2024,2023-11-25 01:00:00+00:00,DEN,HOU,86,105,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,19,0,0,0,19,0
nba-401584137,2024,2023-11-25 01:00:00+00:00,WSH,MIL,128,131,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,3,0,1,0,3,0
nba-401584138,2024,2023-11-25 01:00:00+00:00,SAC,MIN,124,111,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,13,0,0,0,13,0
nba-401584139,2024,2023-11-25 03:00:00+00:00,SA,GS,112,118,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,6,0,1,0,6,0
nba-401584140,2024,2023-11-25 03:30:00+00:00,NO,LAC,116,106,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,10,0,0,0,13,0
nba-401410564,2022,2022-02-21 01:00:00+00:00,DUR,LEB,160,163,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dur.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/leb.png,3,0,2,1,3,0
nba-401585234,2024,2024-01-23 00:00:00+00:00,MIL,DET,122,113,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,9,0,0,0,9,0
nba-401585235,2024,2024-01-23 00:00:00+00:00,CLE,ORL,126,99,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,27,0,0,0,33,0
nba-401585236,2024,2024-01-23 00:00:00+00:00,SA,PHI,123,133,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,10,0,1,0,15,0
nba-401585237,2024,2024-01-23 00:30:00+00:00,MEM,TOR,108,100,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,8,0,0,0,14,0
nba-401585238,2024,2024-01-23 01:00:00+00:00,CHA,MIN,128,125,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,3,0,1,1,15,0
nba-401585239,2024,2024-01-23 01:30:00+00:00,BOS,DAL,119,110,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,9,0,1,0,11,0
nba-401585240,2024,2024-01-23 02:00:00+00:00,CHI,PHX,113,115,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,2,0,1,1,17,0
nba-401585241,2024,2024-01-23 03:00:00+00:00,ATL,SAC,107,122,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,15,0,0,0,18,0
nba-401360421,2022,2022-01-09 17:00:00+00:00,SA,BKN,119,121,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png,2,1,0,0,9,0
nba-401360416,2022,2022-01-09 20:30:00+00:00,ATL,LAC,93,106,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,13,0,0,0,13,0
nba-401360417,2022,2022-01-09 23:00:00+00:00,WSH,ORL,102,100,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,2,0,1,1,7,0
nba-401360418,2022,2022-01-09 23:00:00+00:00,NO,TOR,101,105,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,4,0,0,0,4,0
