item_id,name,artist,year,popularity,genres,image_url
music-album-0OAv7DCME2AV4q1KPO95HY,ICEMAN,Drake,2026,98,Hip Hop|R&B|Contemporary R&B|Pop Rap|Alternative R&B,https://i.scdn.co/image/ab67616d0000b273fe9d3ab9adb1d3b59835b81c
music-album-0P6B5R3yRSkhkmequL5Yno,HABIBTI,Drake,2026,98,Hip Hop|R&B|Contemporary R&B|Pop Rap|Alternative R&B,https://i.scdn.co/image/ab67616d0000b273b92879e45761d711016476df
music-album-6bpGiBLjfOiSyzLSQlfnp7,Pangaea,A.Baby,2019,50,Hip Hop,https://i.scdn.co/image/ab67616d0000b273f4aff8a442f871d6a9dcb781
music-album-7dqftJ3kas6D0VAdmt3k3V,Stories,Avicii,2015,74,Progressive House|Edm|Electro House|Dance-Pop|Electropop,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468
music-album-5yrqPWuCSAo6beZdIBYAUU,Nu King,Jason Derulo,2024,66,Pop|R&B|Contemporary R&B|Dance|Dance-Pop,https://i.scdn.co/image/ab67616d0000b273e61bf150469db99447be6206
music-album-35fwDYviCsLcCqqPIRP7aM,HOW DO I,楊美娜,2020,50,Electropop,https://i.scdn.co/image/ab67616d0000b273dbf11c2edbc927b5c3f4df0f
music-album-5lkNnHVlnCCCV304t89wOH,My House,Flo Rida,2015,8,Pop Rap|Dance-Pop|Hip Hop|Electronic|Electropop,https://i.scdn.co/image/ab67616d0000b2736ba3d11e51c7df825292307f
music-album-6GF0TQYbcWHcZpvt0bTP2D,WITHERED,d4vd,2025,76,Alternative R&B|Contemporary R&B|Indie Pop|Lo-Fi,https://i.scdn.co/image/ab67616d0000b273a48a6e3a1846038249c61537
music-album-1nPRTKmS3Bn0f2ih11i2aH,UNDERDOGS,Pitbull,2025,30,Dance-Pop|Electropop|Dance|Electro House|Eurodance,https://i.scdn.co/image/ab67616d0000b273fa853d9769c89d08a74983bb
music-album-7eLwoxxWs6lfkVYJGkGNbk,Wild Ones,Flo Rida,2012,8,Pop Rap|Dance-Pop|Hip Hop|Electronic|Electropop,https://i.scdn.co/image/ab67616d0000b27315785fa4f22f8c50902b3a42
music-album-2yqTCkRbi6qYFaOiDXn4cT,On My Own,Young Roe Escobar,2020,50,Hip Hop,https://i.scdn.co/image/ab67616d0000b273243d0a41d67a027d5c6982e2
music-album-6VYjqAdWExFAfDdAudVT23,Fireflies,Martin Garrix,2026,28,Edm|Big Room House|Electro House|Dance-Pop|Festival Progressive House,https://i.scdn.co/image/ab67616d0000b27347ff4d4b28c0f4fad26667df
music-album-669luV9w3ueINz1Jg5pBU2,Highway 79,Ne-Yo,2026,50,R&B,https://i.scdn.co/image/ab67616d0000b2733d5be3d2c3c116e229fa27b7
music-album-5RV2TNyjylqWJNxQyHBTeJ,VULTURES 2,Ty Dolla $ign,2024,50,R&B,https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d
music-album-3o81FH5FTYVtoBQOZr3T7y,Fancy That,PinkPantheress,2025,54,Uk Garage|Drum And Bass|Alternative Pop|Future Garage|Jungle,https://i.scdn.co/image/ab67616d0000b2732a6a5bd7ec690d91a384245d
music-album-2qwv7hNjSGfLarHY2adeq9,14 minutes,Dominic Fike,2024,34,Alternative Pop,https://i.scdn.co/image/ab67616d0000b2730297fb98f81fc0b611fcf71d
music-album-3M5cmrMP6IkqcrpHKOwO6e,CTRL ESCAPE,John Summit,2026,36,Dance|Edm|House|Progressive House,https://i.scdn.co/image/ab67616d0000b273edd455c68b4f20c12a76c8c6
music-album-5Er818ARb7me75pPmqlhMK,Happy Vibes,Pritam,2026,20,Filmi,https://i.scdn.co/image/ab67616d0000b273d48c4f0da042a2b884c3cfa7
music-album-6FJxoadUE4JNVwWHghBwnb,RENAISSANCE,Beyoncé,2022,50,R&B,https://i.scdn.co/image/ab67616d0000b27369a3c061676c2020adfe8315
music-album-57TzZhbqvYoUBzJSVKFVlG,Thriller 40,Michael Jackson,2022,50,R&B,https://i.scdn.co/image/ab67616d0000b2734cd83028e3741cda57d0c4bc
music-album-0nte5x6fXd37Nt7jALSmx0,Midnight Sun,Zara Larsson,2025,92,Dance-Pop|Electropop|Pop|Contemporary R&B|Alternative Pop,https://i.scdn.co/image/ab67616d0000b27393872dded9b6fe861ac52752
music-album-4BbsHmXEghoPPevQjPnHXx,F-1 Trillion,Post Malone,2024,84,Hip Hop|Pop Rap|Trap|Alternative R&B|Cloud Rap,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0
